TOPIC,WORD,MEANING,SENTENCE
100. Resolution / determined,Dogged,persistent., Dogged tourists have been shooting the same picture from the same spot on theterrace.
100. Resolution / determined,Endure,to tolerate without giving up., They had to Endure a long wait before the case came to trial.
100. Resolution / determined,Immutable,cannot be changed., This decision should not be seen as Immutable.
100. Resolution / determined,Indefatigable,never tiring., She was Indefatigable in her search for the truth.
100. Resolution / determined,Persevere,continue doing something despite difficulty.," Despite a number of setbacks, they Persevered in their attempts to fly aroundthe world in a balloon."
100. Resolution / determined,Persistence,continue doing something despite difficulty., His Persistence was finally rewarded when the insurance company agreed to payfor the damage.
100. Resolution / determined,Resolute,firm and determined., He became even more Resolute in his opposition to the plan.
100. Resolution / determined,Steadfast,firm and determined., He remained Steadfast in his determination to bring the killers to justice.
100. Resolution / determined,Tenacious,firm and determined., She is a Tenacious woman - she never gives up.
101. Supporter/ x Enemy,Advocate,"support a cause, idea or belief.", Many experts Advocate rewarding your child for good behavior.
101. Supporter/ x Enemy,Ally,someone who supports., His sister was his Ally against their grandparents.
101. Supporter/ x Enemy,Champion,"supporter of a group, cause, idea or belief.", She was a Champion of the poor all her life.
101. Supporter/ x Enemy,ENDORSE,to support something., I wonder how many celebrities actually use the products they ENDORSE.
101. Supporter/ x Enemy,Espouse,"support a cause, idea or belief.", They Espoused the notion of equal opportunity for all in education.
101. Supporter/ x Enemy,Lobbyist,"someone who persuades legislators to support an idea, cause, etc.", She is a paid Lobbyist for a drug company.
101. Supporter/ x Enemy,Proponent,"someone who supports a cause, idea or belief.", He was also a leading Proponent of overhauling the nations health care system.
101. Supporter/ x Enemy,Protagonist,"someone who supports a cause, idea or belief.", He is a leading Protagonist of the conservation movement.
101. Supporter/ x Enemy,Tout,publicize or promote., She is being Touted as the next governor.
101. Supporter/ x Enemy,X Adversary,someone who fights against or opposes another., His old adversary beat him in the chess tournament.
101. Supporter/ x Enemy,X Detractor,someone who disparages or belittles the worth of something., Detractors claim that the building will be ugly and impractical.
101. Supporter/ x Enemy,X Foe,an opponent or enemy., He has already done well to topple a seemingly unbeatable foe.
101. Supporter/ x Enemy,X Impugn,to call into question or challenge something as wrong., There were no real grounds for impugning the decision.
101. Supporter/ x Enemy,X Inimical,unfriendly or hostile.," A cold, inimical gaze."
101. Supporter/ x Enemy,X Opponent,"a competitor, rival or someone who opposes.", The team's opponents are unbeaten so far this season.
102. Tasty,Delectable,tasty., I love this Delectable baked bread.
102. Tasty,Piquant,pleasantly sharp taste., The chicken served with a Piquant wild mushroom sauce.
102. Tasty,Savory,pleasant in taste or smell., They have also started baking Savory tarts for breakfast.
102. Tasty,Scrumptious,tasty Example: I baked a Scrumptious chocolate cake., A buffet table was set with an array of Succulent roasts.
102. Tasty,Succulent,juicy and tasty., A Sumptuous feast.
102. Tasty,Sumptuous,splendid or lavish.," Most of us have lied about a friend's unpalatable dish or a partner's new, buthideous dress."
103. Stubborn,Adamant,refusing to change one's mind despite persuasion ; stubborn., Eva was Adamant that she would not come.
103. Stubborn,Defiant,disobedient or showing resistance or opposition., The terrorists sent a Defiant message to the government.
103. Stubborn,Incorrigible,can not be corrected., The purpose of this legislation is not to let dangerous or Incorrigible people gofree.
103. Stubborn,Intractable,stubborn., He remained as Intractable in his old age as he was in his youth.
103. Stubborn,Intransigent,stubborn., He is an Intransigent conservative opposed to every liberal tendency.
103. Stubborn,Mulish,stubborn.," Because he is Mulish, he is not able to jell well with others."
103. Stubborn,Obdurate,stubborn., The child's misery would move even the most Obdurate person.
103. Stubborn,Obstinate,stubborn., He can be very Obstinate when you ask him a personal question.
103. Stubborn,Pertinacious,stubborn., Jones was the most vocal and Pertinacious of all her critics.
103. Stubborn,Perverse,stubbornly doing what is wrong., She finds a Perverse pleasure in upsetting her parents.
103. Stubborn,Recalcitrant,stubbornly uncooperative towards authority., The University suspended/ the Recalcitrant demonstrators.
103. Stubborn,Refractory,hard or impossible to manage., He is a Refractory child.
103. Stubborn,Willful,unreasonably stubborn., People with wondering minds completed significantly more anagrams than didthose with Willful minds.
104. To accept/ give in/ agree,Accede,agree to someone's wishes., He Acceded to demands for his resignation.
104. To accept/ give in/ agree,Acquiesce,agree reluctantly but without protest., Senior government figures must have Acquiesced in the cover-up.
104. To accept/ give in/ agree,Amenable,agreeable or easily managable., They had three very Amenable children.
104. To accept/ give in/ agree,Assent,agreement., There were murmurs of both Assent and dissent from the crowd.
104. To accept/ give in/ agree,Compliant,agree with someone's wishes., Patients have to be Compliant with the doctor's advice.
104. To accept/ give in/ agree,Comply,"agree with a rule, request, etc.,", They refused to Comply with the U.N. resolution.
104. To accept/ give in/ agree,Concede,admit something., He finally Conceded that she was right.
104. To accept/ give in/ agree,Concur,agree., Historians have Concurred with each other in this view.
104. To accept/ give in/ agree,Docile,easily controlled or managed., All my tution students are quite Docile and hence I enjoy teaching them.
104. To accept/ give in/ agree,Malleable,flexible ; easily managed., Whether Malleable teens are likely to copy the acts they see is debatable.
104. To accept/ give in/ agree,Pliant,flexible ; easily managed., He was deposed and replaced by a more Pliant successor.
104. To accept/ give in/ agree,Succumb,"give in to pressure, demands, etc.,", The collector was offered a bribe and he Succumbed to it.
104. To accept/ give in/ agree,Yield,give up or surrender.," After a long siege, the town was forced to Yield."
105. To make up / create,Concoct,"make up a story, idea, etc, especially falsely.", He Concocted an excuse to avoid punishment.
105. To make up / create,Devise,make up or create., A new system has been Devised to control traffic in the city.
105. To make up / create,Formulate,make up or create., The committee will outline a situation and ask you to Formulate a plan that dealswith the problem.
106. To object,Defy,challenge or resist boldly, I wouldn't dare to Defy my teachers.
106. To object,Demur,to object.," At first she Demurred, but then finally agreed."
106. To object,Dissent,disagreement with official or widely held opinions., Voices of Dissent began to rise against the established authority in the 1950sand 1960s.
106. To object,Object,disagree with something., Many local people Object to the building of the new airport.
106. To object,Quibble,argue about small matters., It is not worth quibbling over such a small amount.
107. Prove false/ to disprove,Belie,to show to be untrue; contradict., Her own words Belie her argument.
107. Prove false/ to disprove,Debunk,claim or show to be wrong or false., His theories have been Debunked by recent research.
107. Prove false/ to disprove,Discredit,to reject as untrue or of questionable accuracy., The photos were deliberately taken to Discredit the findings.
107. Prove false/ to disprove,Expostulate,to argue in protest or objection.," While she would Expostulate with me, he would remain still."
107. Prove false/ to disprove,Rebut,to refute or oppose., Reviewers aren't always reasonable and authors have a chance to Rebut theircomments.
107. Prove false/ to disprove,Remonstrate,to argue in protest or objection., They Remonstrated with the official about the decision.
108. Unpleasant smell,Fetid,having unpleasant smell., I cannot stand the Fetid odour of rotting vegetables.
108. Unpleasant smell,Malodorous,having unpleasant smell., She could not understand how his son could eat such a Malodorous dish.
108. Unpleasant smell,Noisome,having unpleasant smell., Noisome odor and is common on infected areas.
108. Unpleasant smell,Odoriferous,having an odor.," Spices, Odoriferous woods, and aromatic herbs, tea, coffee, oranges, nutmeg,and ginger, are exceedingly plentiful."
